doc_path,chunk_id,content,model
kb\raw\categories\Bank_Expenses.md,30,"fetime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,31,"etime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,32,"time expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,33,"ime expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,34,"me expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,35,"e expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,36,"expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,37,"expense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,38,"xpense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,39,"pense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,40,"ense total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,41,"nse total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,42,"se total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,43,"e total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,44,"total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,45,"total: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,46,"otal: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,47,"tal: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,48,"al: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,49,"l: 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,50,": 439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,51,"439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,52,"439,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,53,"39,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,54,"9,401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,55,",401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,56,"401.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,57,"01.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,58,"1.05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,59,".05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,60,"05
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,61,"5
## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,62,"## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,63,"## Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,64,"# Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,65,"Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,66,"Yearly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,67,"early totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,68,"arly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,69,"rly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,70,"ly totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,71,"y totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,72,"totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,73,"totals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,74,"otals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,75,"tals
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,76,"als
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,77,"ls
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,78,"s
- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,79,"- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,80,"- 2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,81,"2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,82,"2021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,83,"021 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,84,"21 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,85,"1 Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,86,"Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,87,"Expense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,88,"xpense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,89,"pense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,90,"ense: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,91,"nse: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,92,"se: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,93,"e: 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,94,": 439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,95,"439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,96,"439,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,97,"39,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,98,"9,401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,99,",401.05",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,100,401.05,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,101,01.05,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,102,1.05,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,103,.05,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,104,05,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Bank_Expenses.md,105,5,sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,0,"# Category: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,1,"Category: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,2,"Category: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,3,"ategory: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,4,"tegory: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,5,"egory: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,6,"gory: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,7,"ory: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,8,"ry: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,9,"y: Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,10,": Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,11,"Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,12,"Car
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,13,"ar
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,14,"r
- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,15,"- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,16,"- Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,17,"Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,18,"Lifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,19,"ifetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,20,"fetime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,21,"etime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,22,"time expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,23,"ime expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,24,"me expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,25,"e expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,26,"expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,27,"expense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,28,"xpense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,29,"pense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
kb\raw\categories\Car.md,30,"ense total: 3,538,203.68
## Yearly totals
- 2021 Expense: 3,538,203.68",sentence-transformers/all-MiniLM-L6-v2
