Year,Month,Type,Source,Amount
2021,8,Expense,Family/Home,4920.0
2021,8,Expense,Fashion,520.0
2021,8,Expense,Finance,4675.67
2021,8,Expense,Foods,6040.0
2021,8,Expense,Health,2580.0
2021,8,Expense,Office,16400.0
2021,8,Expense,Others,350.0
2021,8,Expense,Party/Gifts,0.0
2021,8,Expense,Phone/Subscriptions,814.17
2021,8,Expense,Property ,0.0
2021,8,Expense,Reloads/Router,2800.0
2021,8,Expense,Sports,400.0
2021,8,Expense,Transports,7850.0
2021,8,Expense,Trips,0.0
2021,8,Income,Bank Interests,0.0
2021,8,Income,Business,9760.0
2021,8,Income,Salary,130000.0
2021,9,Expense,Bank Expenses,50344.45
2021,9,Expense,Car,17708.34
2021,9,Expense,Donations,0.0
2021,9,Expense,Education ,0.0
2021,9,Expense,Family/Home,6010.0
2021,9,Expense,Fashion,4730.0
2021,9,Expense,Finance,4675.67
2021,9,Expense,Foods,1360.0
2021,9,Expense,Health,0.0
2021,9,Expense,Office,0.0
2021,9,Expense,Others,240.0
2021,9,Expense,Party/Gifts,0.0
2021,9,Expense,Phone/Subscriptions,893.32
2021,9,Expense,Property ,0.0
2021,9,Expense,Reloads/Router,5100.0
2021,9,Expense,Sports,0.0
2021,9,Expense,Transports,1100.0
2021,9,Expense,Trips,0.0
2021,9,Income,Bank Interests,21.42
2021,9,Income,Business,6000.0
2021,9,Income,Salary,130000.0
2021,10,Expense,Bank Expenses,50369.45
2021,10,Expense,Car,264228.34
2021,10,Expense,Donations,1331.0
2021,10,Expense,Education ,0.0
2021,10,Expense,Family/Home,5414.0
2021,10,Expense,Fashion,8500.0
2021,10,Expense,Finance,4675.67
2021,10,Expense,Foods,10390.0
2021,10,Expense,Health,490.0
2021,10,Expense,Office,70.0
2021,10,Expense,Others,1160.0
2021,10,Expense,Party/Gifts,7485.0
2021,10,Expense,Phone/Subscriptions,844.07
2021,10,Expense,Property ,0.0
2021,10,Expense,Reloads/Router,5900.0
2021,10,Expense,Sports,0.0
2021,10,Expense,Transports,20265.0
2021,10,Expense,Trips,0.0
2021,10,Income,Bank Interests,579.5
